TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-30 17:55:49,1769795749970,udaansetuai.vercel.app/auth/sign-up,GET,_rsc=1r34m,200,vzttv-1769795749970-7757ae85d6fe,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/auth/sign-up,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,429,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:49,1769795749965,udaansetuai.vercel.app/about,GET,_rsc=1r34m,200,bwbnl-1769795749965-e1f5e7703aab,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/about,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,440,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:48,1769795748179,udaansetuai.vercel.app/,GET,,200,tvt76-1769795748179-a20f3bf60d79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,946,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:39,1769795739416,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app/_next/image,GET,url=%2Flogo.png&w=96&q=75,401,wbdqt-1769795739416-05cb2b6971e8,vercel-favicon/1.0,,production,main,,static,/_next/image,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,3,sfo1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:39,1769795739382,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app/_next/image,GET,url=%2Flogo.png&w=96&q=75,401,slqgv-1769795739382-bfd746903d34,vercel-favicon/1.0,,production,main,,static,/_next/image,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,6,sfo1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:38,1769795738616,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app/,GET,,200,cnx6g-1769795738616-0e5db75167fa,vercel-favicon/1.0,,production,main,HIT,static,/frontend/,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,32,sfo1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:54:16,1769795656495,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app/auth,GET,_rsc=1r34m,200,qrwhq-1769795656495-412ddd3a1ce4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,HIT,static,/frontend/auth,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,6,sfo1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:54:16,1769795656412,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app/auth,GET,mode=sign-up&_rsc=1r34m,200,tw7sg-1769795656412-319d64a12cb0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,HIT,static,/frontend/auth,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,4,sfo1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:54:16,1769795656412,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app/auth,GET,mode=sign-in&_rsc=1r34m,200,g8z2z-1769795656412-012d8a509322,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,HIT,static,/frontend/auth,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,12,sfo1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:54:16,1769795656412,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app/auth/sign-up,GET,_rsc=1r34m,200,2rf95-1769795656412-a34e22bc9fc6,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,HIT,static,/frontend/auth/sign-up,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,9,sfo1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
